Level Name,Odor Number,Probability,Value,Index
habituation,1,100,go,1
training,1,50,go,2
training,2,50,no-go,3
test,1,20,go,4
test,3,15,go,5
test,5,15,go,6
test,2,20,no-go,7
test,4,15,no-go,8
test,6,15,no-go,9
test_catch100,1,23,go,10
test_catch100,3,23,go,11
test_catch100,2,23,no-go,12
test_catch100,4,23,no-go,13
test_catch100,7,4,catch,14
test_catch100,8,4,catch,15
test_catch50,1,23,go,16
test_catch50,3,23,go,17
test_catch50,2,23,no-go,18
test_catch50,4,23,no-go,19
test_catch50,7,4,catch,20
test_catch50,8,4,catch,21
contingency_change,1,20,no-go,22
contingency_change,3,15,no-go,23
contingency_change,5,15,no-go,24
contingency_change,2,20,go,25
contingency_change,4,15,go,26
contingency_change,6,15,go,27
