date,start time,end time,mouse ID,level,go\no-go,stim index,stim name,score,licks_time
2025-08-03,11:02:53.172568,11:02:56.836123,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,[]
2025-08-03,11:02:58.126441,11:03:01.713050,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,"['11:02:58.141930', '11:02:58.385835', '11:02:58.709513', '11:02:59.276359']"
2025-08-03,16:08:16.024282,16:08:19.615583,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,['16:08:16.280822']
2025-08-03,16:08:24.016538,16:08:27.679855,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,[]
2025-08-03,16:08:29.834779,16:08:33.430288,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,"['16:08:30.662480', '16:08:31.389246']"
2025-08-03,16:08:38.834659,16:08:42.511281,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,[]
2025-08-03,16:08:49.907958,16:08:51.849418,00082ECFD2,L1,go,2,7KHZ.npz,hit,"['16:08:50.246501', '16:08:50.409939', '16:08:50.653293', '16:08:50.897269', '16:08:51.221663']"
2025-08-03,16:09:04.003747,16:09:05.978316,00082ECFD2,L1,go,2,7KHZ.npz,hit,"['16:09:04.351026', '16:09:04.515859', '16:09:04.758877', '16:09:05.004863', '16:09:05.328472']"
2025-08-03,16:09:12.001485,16:09:13.943523,00082ECFD2,L1,go,2,7KHZ.npz,hit,"['16:09:12.419183', '16:09:12.742285', '16:09:12.907425', '16:09:13.070467', '16:09:13.314625']"
2025-08-03,16:09:16.945811,16:09:24.869762,00082ECFD2,L1,no-go,3,14KHZ.npz,fa,"['16:09:17.126411', '16:09:17.369536', '16:09:17.532317', '16:09:17.698151', '16:09:18.262590']"
2025-08-03,16:13:13.046118,16:13:16.629894,00082ECFD2,L1,no-go,3,14KHZ.npz,cr,"['16:13:13.142041', '16:13:13.305349']"
2025-08-03,16:13:17.965475,16:13:26.109760,00082ECFD2,L1,no-go,3,14KHZ.npz,fa,"['16:13:17.978624', '16:13:18.222422', '16:13:19.106969', '16:13:19.350057', '16:13:19.512907']"
2025-08-03,16:15:23.978281,16:15:25.536267,00082ECFD2,L1,go,2,7KHZ.npz,hit,"['16:15:24.079029', '16:15:24.242522', '16:15:24.406657', '16:15:24.650395', '16:15:24.815737']"
2025-08-03,16:15:28.722386,16:15:30.687404,00082ECFD2,L1,go,2,7KHZ.npz,hit,"['16:15:28.979079', '16:15:29.302494', '16:15:29.466601', '16:15:29.711975', '16:15:30.035357']"
2025-08-03,16:15:37.572593,16:15:39.107089,00082ECFD2,L1,go,2,7KHZ.npz,hit,"['16:15:37.666929', '16:15:37.830365', '16:15:38.075546', '16:15:38.318622', '16:15:38.482939']"
2025-08-03,16:15:44.057776,16:15:45.598361,00082ECFD2,L1,go,2,7KHZ.npz,hit,"['16:15:44.156094', '16:15:44.319139', '16:15:44.562145', '16:15:44.725101', '16:15:44.889277']"
2025-08-03,16:15:50.813112,16:15:58.319690,00082ECFD2,L1,no-go,3,14KHZ.npz,fa,"['16:15:50.835096', '16:15:51.000076', '16:15:51.163225', '16:15:51.325928', '16:15:51.649192']"
2025-08-03,16:16:00.181237,16:16:01.714259,00082ECFD2,L1,go,2,7KHZ.npz,hit,"['16:16:00.198382', '16:16:00.362405', '16:16:00.525669', '16:16:00.769357', '16:16:00.936948']"
2025-08-03,16:16:04.897008,16:16:06.417479,00082ECFD2,L1,go,2,7KHZ.npz,hit,"['16:16:04.914893', '16:16:05.159289', '16:16:05.322715', '16:16:05.485773', '16:16:05.649279']"
2025-08-03,16:16:09.552876,16:16:17.226219,00082ECFD2,L1,no-go,3,14KHZ.npz,fa,"['16:16:09.569109', '16:16:09.824704', '16:16:10.072702', '16:16:10.316416', '16:16:10.641163']"
2025-08-03,16:16:19.605060,16:16:21.249509,00082ECFD2,L1,go,2,7KHZ.npz,hit,"['16:16:19.699235', '16:16:19.863352', '16:16:20.107616', '16:16:20.353675', '16:16:20.596521']"
2025-08-03,16:16:26.863119,16:16:34.388764,00082ECFD2,L1,no-go,3,14KHZ.npz,fa,"['16:16:26.880953', '16:16:27.044807', '16:16:27.288141', '16:16:27.452041', '16:16:27.615678']"
2025-08-03,16:16:37.008772,16:16:44.549053,00082ECFD2,L1,no-go,3,14KHZ.npz,fa,"['16:16:37.032030', '16:16:37.196928', '16:16:37.359716', '16:16:37.523525', '16:16:37.686513']"
2025-08-03,16:24:23.103856,16:24:24.621840,00082ED4D6,L1,go,2,7KHZ.npz,hit,"['16:24:23.117978', '16:24:23.280917', '16:24:23.443782', '16:24:23.686655', '16:24:23.850609']"
